chunk,retrained,train_size,accuracy,precision_attack,recall_attack,f1_attack,roc_auc,pr_auc,tn,fp,fn,tp
1,False,60000,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,42000,0,0,18000
2,False,60000,0.8951333333333333,0.9943514022396195,0.6167557932263814,0.7613050075872534,0.9444679868902583,0.9002238562642726,43674,57,6235,10034
3,False,60000,0.8349833333333333,0.9621931908155186,0.33360785121131015,0.49543902563318554,0.828277186446273,0.7070495948449571,45238,191,9710,4861
4,True,180000,0.9555833333333333,0.997910281415436,0.8446435941277047,0.9149024491490245,0.9908601453976941,0.982439239409598,43009,30,2635,14326
5,True,240000,0.9554166666666667,0.9986729990222099,0.843350044234739,0.914462955264925,0.9944152853280254,0.9889872637723337,43026,19,2656,14299
