chunk,retrained,train_size,accuracy,precision_attack,recall_attack,f1_attack,roc_auc,pr_auc,tn,fp,fn,tp
1,False,9547,0.9997905101078873,0.9993024066968957,1.0,0.9996510816468946,1.0,1.0,6680,2,0,2865
2,False,9547,0.9944485178590133,0.9846684553468762,0.9949651432997676,0.9897900211905221,0.9975945345850643,0.9946722901527453,6925,40,13,2569
3,False,9547,0.9301351209804127,0.7916666666666666,0.9691384483497643,0.871458855270765,0.9833025178098833,0.9659700418552608,6619,595,72,2261
4,True,28641,0.9931915785063371,0.9813732651570489,0.994816734542762,0.9880492737635594,0.9978871665778128,0.9960129260680345,6795,51,14,2687
5,True,38188,0.9983240808630983,0.9977711738484398,0.9962908011869436,0.9970304380103935,0.9979501952757011,0.9972281046188387,6845,6,10,2686
