chunk,retrained,train_size,accuracy,precision_attack,recall_attack,f1_attack,roc_auc,pr_auc,tn,fp,fn,tp
1,False,508009,1.0,1.0,1.0,1.0,1.0,1.0,355606,0,0,152403
2,False,508009,0.9951044174414233,0.9953128749700024,0.9861644660093178,0.9907175515536064,0.9923737614336,0.9882877666584735,372803,625,1862,132719
3,False,508009,0.9853998649630223,0.989837107951704,0.9463869463869464,0.9676245018398641,0.9815780473690903,0.9710258629024082,389754,1138,6279,110838
4,True,1524027,0.9922422634244669,0.9927656440923472,0.9757655293088364,0.9841921807249696,0.9877779603949384,0.9809213509766821,381385,894,3047,122683
5,True,2032036,0.9923328130013445,0.9924781049025628,0.9764397281507095,0.984393593960982,0.9870850641815219,0.9798669064863069,381273,931,2964,122841
